date,home-team,score,away-team
12-08-2023,Arsenal,2 - 1,Nott'm Forest
21-08-2023,Crystal Palace,0 - 1,Arsenal
26-08-2023,Arsenal,2 - 2,Fulham
03-09-2023,Arsenal,3 - 1,Man United
17-09-2023,Everton,? - ?,Arsenal
12-08-2023,Newcastle,5 - 1,Aston Villa
20-08-2023,Aston Villa,4 - 0,Everton
27-08-2023,Burnley,1 - 3,Aston Villa
03-09-2023,Liverpool,3 - 0,Aston Villa
16-09-2023,Aston Villa,? - ?,Crystal Palace
12-08-2023,Bournemouth,1 - 1,West Ham
19-08-2023,Liverpool,3 - 1,Bournemouth
26-08-2023,Bournemouth,0 - 2,Tottenham
02-09-2023,Brentford,2 - 2,Bournemouth
17-09-2023,Bournemouth,? - ?,Chelsea
13-08-2023,Brentford,2 - 2,Tottenham
19-08-2023,Fulham,0 - 3,Brentford
26-08-2023,Brentford,1 - 1,Crystal Palace
02-09-2023,Brentford,2 - 2,Bournemouth
16-09-2023,Newcastle,? - ?,Brentford
12-08-2023,Brighton,4 - 1,Luton
19-08-2023,Wolves,1 - 4,Brighton
26-08-2023,Brighton,1 - 3,West Ham
02-09-2023,Brighton,3 - 1,Newcastle
16-09-2023,Man United,? - ?,Brighton
11-08-2023,Burnley,0 - 3,Man City
27-08-2023,Burnley,1 - 3,Aston Villa
02-09-2023,Burnley,2 - 5,Tottenham
18-09-2023,Nott'm Forest,? - ?,Burnley
13-08-2023,Chelsea,1 - 1,Liverpool
20-08-2023,West Ham,3 - 1,Chelsea
25-08-2023,Chelsea,3 - 0,Luton
02-09-2023,Chelsea,0 - 1,Nott'm Forest
17-09-2023,Bournemouth,? - ?,Chelsea
12-08-2023,Sheffield United,0 - 1,Crystal Palace
21-08-2023,Crystal Palace,0 - 1,Arsenal
26-08-2023,Brentford,1 - 1,Crystal Palace
03-09-2023,Crystal Palace,3 - 2,Wolves
16-09-2023,Aston Villa,? - ?,Crystal Palace
12-08-2023,Everton,0 - 1,Fulham
20-08-2023,Aston Villa,4 - 0,Everton
26-08-2023,Everton,0 - 1,Wolves
02-09-2023,Sheffield United,2 - 2,Everton
17-09-2023,Everton,? - ?,Arsenal
12-08-2023,Everton,0 - 1,Fulham
19-08-2023,Fulham,0 - 3,Brentford
26-08-2023,Arsenal,2 - 2,Fulham
02-09-2023,Man City,5 - 1,Fulham
16-09-2023,Fulham,? - ?,Luton
13-08-2023,Chelsea,1 - 1,Liverpool
19-08-2023,Liverpool,3 - 1,Bournemouth
27-08-2023,Newcastle,1 - 2,Liverpool
03-09-2023,Liverpool,3 - 0,Aston Villa
16-09-2023,Wolves,? - ?,Liverpool
12-08-2023,Brighton,4 - 1,Luton
25-08-2023,Chelsea,3 - 0,Luton
01-09-2023,Luton,1 - 2,West Ham
16-09-2023,Fulham,? - ?,Luton
11-08-2023,Burnley,0 - 3,Man City
19-08-2023,Man City,1 - 0,Newcastle
27-08-2023,Sheffield United,1 - 2,Man City
02-09-2023,Man City,5 - 1,Fulham
16-09-2023,West Ham,? - ?,Man City
14-08-2023,Man United,1 - 0,Wolves
19-08-2023,Tottenham,2 - 0,Man United
26-08-2023,Man United,3 - 2,Nott'm Forest
03-09-2023,Arsenal,3 - 1,Man United
16-09-2023,Man United,? - ?,Brighton
12-08-2023,Newcastle,5 - 1,Aston Villa
19-08-2023,Man City,1 - 0,Newcastle
27-08-2023,Newcastle,1 - 2,Liverpool
02-09-2023,Brighton,3 - 1,Newcastle
16-09-2023,Newcastle,? - ?,Brentford
12-08-2023,Arsenal,2 - 1,Nott'm Forest
18-08-2023,Nott'm Forest,2 - 1,Sheffield United
26-08-2023,Man United,3 - 2,Nott'm Forest
02-09-2023,Chelsea,0 - 1,Nott'm Forest
18-09-2023,Nott'm Forest,? - ?,Burnley
12-08-2023,Sheffield United,0 - 1,Crystal Palace
18-08-2023,Nott'm Forest,2 - 1,Sheffield United
27-08-2023,Sheffield United,1 - 2,Man City
02-09-2023,Sheffield United,2 - 2,Everton
16-09-2023,Tottenham,? - ?,Sheffield United
13-08-2023,Brentford,2 - 2,Tottenham
19-08-2023,Tottenham,2 - 0,Man United
26-08-2023,Bournemouth,0 - 2,Tottenham
02-09-2023,Burnley,2 - 5,Tottenham
16-09-2023,Tottenham,? - ?,Sheffield United
12-08-2023,Bournemouth,1 - 1,West Ham
20-08-2023,West Ham,3 - 1,Chelsea
26-08-2023,Brighton,1 - 3,West Ham
01-09-2023,Luton,1 - 2,West Ham
16-09-2023,West Ham,? - ?,Man City
14-08-2023,Man United,1 - 0,Wolves
19-08-2023,Wolves,1 - 4,Brighton
26-08-2023,Everton,0 - 1,Wolves
03-09-2023,Crystal Palace,3 - 2,Wolves
16-09-2023,Wolves,? - ?,Liverpool
